match_id,eventId,teamEvent,type,text,time_main,time_added,executor_name,executor_team,assistant_name,assistant_team,title_key,title_value,ERA
4162527.0,,away,end 14,"Match ends, Colombia 1, Iraq 0.",,,,,,,,,During Lorenzo
4162527.0,,away,end 2,"Second Half ends, Colombia 1, Iraq 0.",90’,+5,,,,,,,During Lorenzo
4162527.0,,home,free kick lost,Foul by Daniel Muñoz (Colombia).,90’,+4,Daniel Munoz,Colombia,,,,,During Lorenzo
4162527.0,,away,free kick won,Ahmed Yehia (Iraq) wins a free kick in the defensive half.,90’,+4,Ahmed Yahya,Iraq,,,,,During Lorenzo
4162527.0,,home,miss,Attempt missed. Óscar Cortés (Colombia) right footed shot from outside the box misses to the left. Assisted by Jhon Arias.,90’,+3,Oscar Cortes,Colombia,Jhon Arias,Colombia,,,During Lorenzo
4162527.0,,home,free kick won,Jhon Arias (Colombia) wins a free kick in the defensive half.,90’,+2,Jhon Arias,Colombia,,,,,During Lorenzo
4162527.0,,away,free kick lost,Foul by Amjad Attwan (Iraq).,90’,+2,Amjad Attwan,Iraq,,,,,During Lorenzo
4162527.0,,away,end delay,Delay over. They are ready to continue.,90’,,,,,,,,During Lorenzo
4162527.0,,away,start delay,Delay in match because of an injury Amjad Attwan (Iraq).,89’,,,,,,,,During Lorenzo
4162527.0,,home,SI,"Substitution, Colombia. Óscar Cortés replaces Jorge Carrascal.",86’,,Oscar Cortes,Colombia,Jorge Carrascal,Colombia,player_substitution,Substitution,During Lorenzo
4162527.0,,home,miss,Attempt missed. Jhon Arias (Colombia) left footed shot from the right side of the box misses to the left. Assisted by Yáser Asprilla.,83’,,Jhon Arias,Colombia,Yaser Asprilla,Colombia,,,During Lorenzo
4162527.0,,away,end delay,Delay over. They are ready to continue.,82’,,,,,,,,During Lorenzo
4162527.0,,away,SI,"Substitution, Iraq. Bashar Rasan replaces Ibrahim Bayesh.",82’,,Bashar Resan,Iraq,Ibrahim Bayesh,Iraq,player_substitution,Substitution,During Lorenzo
4162527.0,,away,start delay,Delay in match because of an injury Jorge Carrascal (Colombia).,80’,,,,,,,,During Lorenzo
4162527.0,,away,start delay,Delay in match because of an injury Ahmed Yehia (Iraq).,80’,,,,,,,,During Lorenzo
4162527.0,,home,corner,"Corner, Iraq. Conceded by Davinson Sánchez.",79’,,Davinson Sánchez,Colombia,,,,,During Lorenzo
4162527.0,10293627,home,G,"Goal! Colombia 1, Iraq 0. Mateo Cassierra (Colombia) right footed shot from the centre of the box to the centre of the goal. Assisted by Jhon Arias with a cross.",76’,,Mateo Cassierra,Colombia,Jhon Arias,Colombia,goal,Goal!,During Lorenzo
4162527.0,,home,offside,"Offside, Colombia. Álvaro Montero tries a through ball, but Yáser Asprilla is caught offside.",75’,,Alvaro Montero,Colombia,,,,,During Lorenzo
4162527.0,,home,corner,"Corner, Iraq. Conceded by Jhon Lucumí.",74’,,Jhon Lucumi,Colombia,,,,,During Lorenzo
4162527.0,,home,SI,"Substitution, Colombia. Mateo Cassierra replaces Rafael Borré.",74’,,Mateo Cassierra,Colombia,Rafael Santos Borre,Colombia,player_substitution,Substitution,During Lorenzo
4162527.0,,home,SI,"Substitution, Colombia. Yáser Asprilla replaces Luis Díaz.",74’,,Yaser Asprilla,Colombia,Luis Diaz,Colombia,player_substitution,Substitution,During Lorenzo
4162527.0,,home,free kick won,Luis Díaz (Colombia) wins a free kick on the left wing.,72’,,Luis Diaz,Colombia,,,,,During Lorenzo
4162527.0,,away,free kick lost,Foul by Allan Mohideen (Iraq).,72’,,,,,,,,During Lorenzo
4162527.0,,away,SI,"Substitution, Iraq. Aymen Hussein replaces Pashang Abdulla.",69’,,,,,,player_substitution,Substitution,During Lorenzo
4162527.0,,away,SI,"Substitution, Iraq. Humam Tariq replaces Merchas Doski.",69’,,Humam Tariq,Iraq,Merchas Doski,Iraq,player_substitution,Substitution,During Lorenzo
4162527.0,,away,corner,"Corner, Colombia. Conceded by Mustafa Nadhim.",68’,,Mustafa Nadhim,Iraq,,,,,During Lorenzo
4162527.0,,home,attempt blocked,Attempt blocked. Rafael Borré (Colombia) left footed shot from the left side of the box is blocked. Assisted by Jorge Carrascal with a through ball.,68’,,Rafael Santos Borre,Colombia,Jorge Carrascal,Colombia,,,During Lorenzo
4162527.0,,home,offside,"Offside, Colombia. Rafael Borré tries a through ball, but Jorge Carrascal is caught offside.",64’,,Rafael Santos Borre,Colombia,,,,,During Lorenzo
4162527.0,,away,offside,"Offside, Iraq. Amir Al Ammari tries a through ball, but Mustafa Nadhim is caught offside.",63’,,Amir Al-Ammari,Iraq,,,,,During Lorenzo
4162527.0,,home,free kick lost,Foul by Matheus Uribe (Colombia).,62’,,Mateus Uribe,Colombia,,,,,During Lorenzo
4162527.0,,away,free kick won,Ibrahim Bayesh (Iraq) wins a free kick in the attacking half.,62’,,Ibrahim Bayesh,Iraq,,,,,During Lorenzo
4162527.0,,home,SI,"Substitution, Colombia. Matheus Uribe replaces Juan Cuadrado.",59’,,Mateus Uribe,Colombia,Juan Cuadrado,Colombia,player_substitution,Substitution,During Lorenzo
4162527.0,,home,SI,"Substitution, Colombia. Jhon Arias replaces Diego Valoyes.",59’,,Jhon Arias,Colombia,Diego Valoyes,Colombia,player_substitution,Substitution,During Lorenzo
4162527.0,,home,miss,Attempt missed. Jhon Lucumí (Colombia) header from the centre of the box is just a bit too high. Assisted by Juan Cuadrado with a cross following a corner.,58’,,Jhon Lucumi,Colombia,Juan Cuadrado,Colombia,,,During Lorenzo
4162527.0,,away,corner,"Corner, Colombia. Conceded by Mustafa Nadhim.",58’,,Mustafa Nadhim,Iraq,,,,,During Lorenzo
4162527.0,,away,attempt saved,Attempt saved. Ibrahim Bayesh (Iraq) right footed shot from outside the box is saved in the bottom right corner. Assisted by Pashang Abdulla.,57’,,,,,,,,During Lorenzo
4162527.0,,home,free kick lost,Foul by Juan Cuadrado (Colombia).,53’,,Juan Cuadrado,Colombia,,,,,During Lorenzo
4162527.0,,away,free kick won,Mustafa Nadhim (Iraq) wins a free kick in the defensive half.,53’,,Mustafa Nadhim,Iraq,,,,,During Lorenzo
4162527.0,,home,offside,"Offside, Colombia. Jorge Carrascal tries a through ball, but Andrés Salazar is caught offside.",48’,,Jorge Carrascal,Colombia,,,,,During Lorenzo
4162527.0,,away,SI,"Substitution, Iraq. Amjad Attwan replaces Osama Rashid.",46’,,Amjad Attwan,Iraq,Osama Rashid,Iraq,player_substitution,Substitution,During Lorenzo
4162527.0,,away,start,"Second Half begins Colombia 0, Iraq 0.",46’,,,,,,,,During Lorenzo
4162527.0,,away,SI,"Substitution, Iraq. Mustafa Nadhim replaces Ali Faez.",46’,,Mustafa Nadhim,Iraq,Ali Faez Atiyah,Iraq,player_substitution,Substitution,During Lorenzo
4162527.0,,away,end 1,"First Half ends, Colombia 0, Iraq 0.",45’,+3,,,,,,,During Lorenzo
4162527.0,,home,free kick lost,Foul by Jefferson Lerma (Colombia).,45’,+2,Jefferson Lerma,Colombia,,,,,During Lorenzo
4162527.0,,away,free kick won,Pashang Abdulla (Iraq) wins a free kick in the defensive half.,45’,+2,,,,,,,During Lorenzo
4162527.0,,home,free kick won,Diego Valoyes (Colombia) wins a free kick on the right wing.,45’,,Diego Valoyes,Colombia,,,,,During Lorenzo
4162527.0,,away,free kick lost,Foul by Ahmed Yehia (Iraq).,45’,,Ahmed Yahya,Iraq,,,,,During Lorenzo
4162527.0,,home,free kick won,Jorge Carrascal (Colombia) wins a free kick in the attacking half.,42’,,Jorge Carrascal,Colombia,,,,,During Lorenzo
4162527.0,,away,free kick lost,Foul by Ibrahim Bayesh (Iraq).,42’,,Ibrahim Bayesh,Iraq,,,,,During Lorenzo
