id,name,team,position,rating,match,match_id,match_date,home_away,ERA,top_stats_FotMob rating,top_stats_Minutes played,top_stats_Saves,top_stats_Goals conceded,top_stats_Goals prevented,top_stats_Accurate passes_value,top_stats_Accurate passes_total,top_stats_Accurate long balls_value,top_stats_Accurate long balls_total,top_stats_Diving save,top_stats_Saves inside box,top_stats_Acted as sweeper,top_stats_Punches,top_stats_Throws,top_stats_High claim,top_stats_Recoveries,top_stats_Touches,top_stats_Goals,top_stats_Assists,top_stats_Total shots,top_stats_Shotmap,top_stats_Chances created,attack_Blocked shots,attack_Touches,attack_Successful dribbles_value,attack_Successful dribbles_total,attack_Passes into final third,attack_Accurate crosses_value,attack_Accurate crosses_total,attack_Accurate long balls_value,attack_Accurate long balls_total,attack_Dispossessed,defense_Tackles won_value,defense_Tackles won_total,defense_Clearances,defense_Headed clearance,defense_Interceptions,defense_Defensive actions,defense_Recoveries,defense_Dribbled past,duels_Duels won,duels_Duels lost,duels_Ground duels won_value,duels_Ground duels won_total,duels_Aerial duels won_value,duels_Aerial duels won_total,duels_Was fouled,duels_Fouls committed,attack_Shot accuracy_value,attack_Shot accuracy_total,attack_Big chances missed,attack_Offsides,attack_Corners,defense_Tackles won,defense_Blocks,attack_Touches in opposition box,top_stats_Missed penalty,top_stats_Penalties won,defense_Last man tackle,defense_Clearance off the line,top_stats_Error led to goal,top_stats_xGOT faced,top_stats_Expected goals (xG),top_stats_Expected goals on target (xGOT),top_stats_Expected assists (xA),top_stats_xG + xA,attack_xG Non-penalty,top_stats_Conceded penalty
498457,Alvaro Montero,8258,Keeper,7.0,"Colombia-vs-Iraq_Fri, Jun 16, 2023, 19:00 UTC",4162527,2023-06-16,home,During Lorenzo,6.98,90.0,1.0,0.0,0.0,14.0,16.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859282,Daniel Munoz,8258,Defender,8.6,"Colombia-vs-Iraq_Fri, Jun 16, 2023, 19:00 UTC",4162527,2023-06-16,home,During Lorenzo,8.62,90.0,,,,59.0,70.0,,,,,,,,,,,0.0,0.0,1.0,True,0.0,1.0,107.0,6.0,6.0,3.0,0.0,3.0,4.0,6.0,0.0,3.0,4.0,2.0,1.0,2.0,9.0,5.0,1.0,16.0,2.0,11.0,13.0,5.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
643533,Davinson Sánchez,8258,Defender,7.4,"Colombia-vs-Iraq_Fri, Jun 16, 2023, 19:00 UTC",4162527,2023-06-16,home,During Lorenzo,7.4,90.0,,,,69.0,79.0,,,,,,,,,,,0.0,0.0,1.0,True,0.0,,91.0,,,16.0,,,5.0,11.0,0.0,1.0,3.0,4.0,1.0,,7.0,3.0,1.0,7.0,3.0,3.0,4.0,4.0,6.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,
860913,Jhon Lucumi,8258,Defender,7.7,"Colombia-vs-Iraq_Fri, Jun 16, 2023, 19:00 UTC",4162527,2023-06-16,home,During Lorenzo,7.73,90.0,,,,68.0,73.0,,,,,,,,,,,0.0,0.0,1.0,True,0.0,,85.0,,,10.0,,,8.0,9.0,1.0,1.0,3.0,2.0,1.0,1.0,6.0,10.0,,4.0,3.0,3.0,4.0,1.0,3.0,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,
1343324,Andres Salazar,8258,Defender,6.9,"Colombia-vs-Iraq_Fri, Jun 16, 2023, 19:00 UTC",4162527,2023-06-16,home,During Lorenzo,6.91,90.0,,,,39.0,43.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,72.0,0.0,3.0,8.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,4.0,1.0,4.0,8.0,2.0,8.0,2.0,4.0,,,,,,1.0,,,,,,,,,,,,,,,,
155066,Juan Cuadrado,8258,Midfielder,7.1,"Colombia-vs-Iraq_Fri, Jun 16, 2023, 19:00 UTC",4162527,2023-06-16,home,During Lorenzo,7.07,59.0,,,,40.0,46.0,,,,,,,,,,,0.0,0.0,0.0,,1.0,,60.0,0.0,1.0,9.0,2.0,4.0,6.0,8.0,1.0,1.0,2.0,,,1.0,5.0,5.0,,3.0,4.0,3.0,6.0,0.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,
466672,Jefferson Lerma,8258,Midfielder,7.4,"Colombia-vs-Iraq_Fri, Jun 16, 2023, 19:00 UTC",4162527,2023-06-16,home,During Lorenzo,7.43,90.0,,,,55.0,69.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,73.0,,,7.0,,,2.0,4.0,0.0,,,1.0,,1.0,3.0,7.0,,3.0,2.0,0.0,1.0,3.0,4.0,,1.0,,,,,,0.0,,,,,,,,,,,,,,
783809,Diego Valoyes,8258,Midfielder,6.4,"Colombia-vs-Iraq_Fri, Jun 16, 2023, 19:00 UTC",4162527,2023-06-16,home,During Lorenzo,6.43,59.0,,,,16.0,19.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,36.0,,,,1.0,2.0,,,2.0,1.0,2.0,,,,4.0,4.0,1.0,5.0,5.0,4.0,9.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
784834,Jorge Carrascal,8258,Midfielder,7.4,"Colombia-vs-Iraq_Fri, Jun 16, 2023, 19:00 UTC",4162527,2023-06-16,home,During Lorenzo,7.39,86.0,,,,38.0,46.0,,,,,,,,,,,0.0,0.0,0.0,,3.0,,65.0,3.0,5.0,6.0,2.0,4.0,5.0,8.0,1.0,1.0,1.0,,,,3.0,5.0,1.0,7.0,9.0,7.0,13.0,0.0,3.0,3.0,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,
860914,Luis Diaz,8258,Midfielder,7.2,"Colombia-vs-Iraq_Fri, Jun 16, 2023, 19:00 UTC",4162527,2023-06-16,home,During Lorenzo,7.2,74.0,,,,22.0,28.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,42.0,4.0,5.0,6.0,,,3.0,3.0,1.0,1.0,1.0,,,,1.0,4.0,1.0,8.0,4.0,8.0,11.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
533775,Rafael Santos Borre,8258,Attacker,6.3,"Colombia-vs-Iraq_Fri, Jun 16, 2023, 19:00 UTC",4162527,2023-06-16,home,During Lorenzo,6.31,74.0,,,,11.0,14.0,,,,,,,,,,,0.0,0.0,1.0,True,0.0,1.0,21.0,,,,,,,,1.0,,,,,,1.0,2.0,,1.0,4.0,0.0,2.0,1.0,3.0,,1.0,,,,2.0,,0.0,,,,,,,,,,,,,,
860914,Luis Diaz,8258,Attacker,7.8,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,7.76,86.0,,,,19.0,22.0,,,,,,,,,,,1.0,0.0,2.0,True,1.0,,38.0,3.0,6.0,2.0,,,1.0,1.0,3.0,0.0,1.0,,,,3.0,4.0,1.0,5.0,10.0,5.0,14.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
533775,Rafael Santos Borre,8258,Attacker,6.8,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,6.83,77.0,,,,5.0,10.0,,,,,,,,,,,0.0,0.0,1.0,True,0.0,,20.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,2.0,,,,3.0,4.0,,4.0,4.0,2.0,4.0,2.0,4.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
1023030,Jhon Arias,8258,Midfielder,7.9,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,7.85,90.0,,,,25.0,28.0,,,,,,,,,,,0.0,0.0,1.0,True,1.0,,42.0,1.0,1.0,3.0,,,0.0,2.0,0.0,6.0,8.0,,,1.0,15.0,3.0,,9.0,5.0,9.0,13.0,0.0,1.0,,6.0,0.0,1.0,,,,,,,,,,,,,,,,,,
466672,Jefferson Lerma,8258,Midfielder,6.7,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,6.66,77.0,,,,16.0,19.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,24.0,,,3.0,,,2.0,3.0,0.0,,,1.0,1.0,,4.0,5.0,,1.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,,,,,,0.0,1.0,,,,,,,,,,,,,
320618,Mateus Uribe,8258,Midfielder,7.1,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,7.08,89.0,,,,19.0,26.0,,,,,,,,,,,0.0,0.0,0.0,,2.0,,35.0,,,3.0,2.0,2.0,1.0,2.0,0.0,,,1.0,,,1.0,5.0,3.0,1.0,4.0,0.0,3.0,1.0,2.0,,,,,,,,0.0,,,,,,,,,,,,,,
155066,Juan Cuadrado,8258,Midfielder,9.0,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,8.95,89.0,,,,27.0,36.0,,,,,,,,,,,1.0,1.0,2.0,True,3.0,,56.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,0.0,1.0,1.0,,,1.0,3.0,5.0,2.0,9.0,3.0,9.0,12.0,0.0,0.0,5.0,1.0,1.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,
578756,Deiver Machado,8258,Defender,7.5,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,7.46,90.0,,,,13.0,21.0,,,,,,,,,,,0.0,0.0,1.0,True,0.0,1.0,44.0,2.0,2.0,,0.0,2.0,1.0,4.0,0.0,,,3.0,2.0,2.0,6.0,2.0,,3.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,,,,,,0.0,,,,,,,,,,,,,,
860913,Jhon Lucumi,8258,Defender,7.2,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,7.24,90.0,,,,43.0,50.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,56.0,,,4.0,,,5.0,8.0,0.0,2.0,2.0,3.0,2.0,,5.0,6.0,,2.0,2.0,2.0,2.0,0.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
496042,Yerry Mina,8258,Defender,7.3,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,7.34,90.0,,,,50.0,50.0,,,,,,,,,,,0.0,0.0,2.0,True,0.0,,60.0,,,3.0,,,2.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,6.0,4.0,2.0,6.0,2.0,3.0,5.0,3.0,3.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,
859282,Daniel Munoz,8258,Defender,7.7,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,7.67,90.0,,,,29.0,38.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,54.0,1.0,1.0,6.0,,,0.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,9.0,7.0,1.0,6.0,5.0,6.0,11.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
50207,Camilo Vargas,8258,Keeper,7.7,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,7.66,90.0,1.0,0.0,0.0,17.0,26.0,6.0,15.0,1.0,1.0,2.0,0.0,3.0,0.0,6.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50207,Camilo Vargas,8258,Keeper,6.9,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,6.92,90.0,2.0,0.0,0.0,19.0,27.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859282,Daniel Munoz,8258,Defender,7.8,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,7.84,90.0,,,,52.0,56.0,,,,,,,,,,,0.0,0.0,0.0,,2.0,,94.0,1.0,4.0,4.0,3.0,4.0,,,0.0,4.0,5.0,3.0,,1.0,12.0,3.0,,6.0,7.0,6.0,12.0,0.0,1.0,,3.0,,,,,,,,3.0,,,,,,,,,,,,
496042,Yerry Mina,8258,Defender,7.6,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,7.63,90.0,,,,60.0,62.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,72.0,,,5.0,,,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,,6.0,2.0,5.0,6.0,1.0,2.0,4.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
